"No.","Time","Source","Destination","Protocol","Length","Info"
"3274","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3275","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3276","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3277","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3278","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3279","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3280","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3281","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3282","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3283","46.246804","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3284","46.246858","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3285","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3286","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3287","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3288","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3289","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3290","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3291","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3292","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3293","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3294","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3295","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3296","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3297","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3298","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3299","46.248192","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
